number,name,year,location,wikipedia
1,Kushim,-3100,Ancient Sumer,https://en.wikipedia.org/wiki/Kushim
2,Gal-Sal,-3100,Ancient Sumer,https://en.wikipedia.org/wiki/Gal-Sal
3,En-pap,-3100,Ancient Sumer,https://en.wikipedia.org/wiki/En-papx
4,Sukkalgir,-3100,Ancient Sumer,https://en.wikipedia.org/wiki/Sukkalgir
5,Iry-Hor,-3200,Abydos Egypt,https://en.wikipedia.org/wiki/Iry-Hor
6,Ka,-3200,Abydos Egypt,https://en.wikipedia.org/wiki/Ka_(pharaoh)
7,Scorpion II,-3100,Nekhen Egypt,https://en.wikipedia.org/wiki/Scorpion_II
8,Narmer,-3125,Nekhen Egypt,https://en.wikipedia.org/wiki/Narmer
9,Neithhotep,-3125,Abydos Egypt,https://en.wikipedia.org/wiki/Neithhotep
10,Hor-Aha,-3100,Abydos Egypt,https://en.wikipedia.org/wiki/Hor-Aha
11,Anitta,-1650,Kussara Anatolia,https://en.wikipedia.org/wiki/Anitta
12,Yax Ehb Xook,90,Tikal,https://en.wikipedia.org/wiki/Yax_Ehb%27_Xook
13,Anne Frank,1929,Amsterdam,https://en.wikipedia.org/wiki/Anne_Frank
